breec [9] :   AP880212-0032#9
breed [2] :   AP880212-0046#2
limit [16] :   AP880212-0024#3 AP880212-0022#2 AP880212-0097#1 AP880212-0094#1 AP880212-0093#5 AP880212-0066#1 AP880212-0079#1 AP880212-0044#1 AP880212-0017#1
2624 [1] :   AP880212-0064#1
re [24] :   AP880212-0002#1 AP880212-0077#1 AP880212-0027#2 AP880212-0017#1 AP880212-0069#2 AP880212-0042#1 AP880212-0073#1 AP880212-0075#1 AP880212-0096#1 AP880212-0007#1 AP880212-0001#2 AP880212-0035#1 AP880212-0066#1 AP880212-0097#6 AP880212-0070#2
solicit [1] :   AP880212-0032#1
recept [3] :   AP880212-0054#1 AP880212-0070#1 AP880212-0058#1
richardsvil [1] :   AP880212-0014#1
lorna [1] :   AP880212-0075#1
prefer [1] :   AP880212-0069#1
reluct [6] :   AP880212-0064#1 AP880212-0088#1 AP880212-0018#2 AP880212-0005#1 AP880212-0002#1
plo [9] :   AP880212-0021#8 AP880212-0097#1
provost [1] :   AP880212-0079#1
guilti [10] :   AP880212-0006#2 AP880212-0076#1 AP880212-0073#1 AP880212-0058#1 AP880212-0029#2 AP880212-0090#3
forearm [2] :   AP880212-0096#2
back [28] :   AP880212-0047#1 AP880212-0072#1 AP880212-0042#1 AP880212-0005#1 AP880212-0032#1 AP880212-0044#1 AP880212-0021#6 AP880212-0068#1 AP880212-0063#1 AP880212-0100#1 AP880212-0001#1 AP880212-0095#2 AP880212-0065#1 AP880212-0055#1 AP880212-0045#1 AP880212-0035#1 AP880212-0015#1 AP880212-0080#1 AP880212-0060#1 AP880212-0030#1 AP880212-0020#1 AP880212-0097#1
half [5] :   AP880212-0049#1 AP880212-0009#1 AP880212-0100#2 AP880212-0010#1
cosmet [1] :   AP880212-0068#1
fabrega [1] :   AP880212-0010#1
reput [4] :   AP880212-0003#2 AP880212-0013#1 AP880212-0011#1
nato [3] :   AP880212-0009#1 AP880212-0063#1 AP880212-0080#1
around [14] :   AP880212-0067#1 AP880212-0078#1 AP880212-0064#2 AP880212-0089#1 AP880212-0086#1 AP880212-0009#1 AP880212-0080#1 AP880212-0049#1 AP880212-0043#1 AP880212-0065#1 AP880212-0096#1 AP880212-0023#1 AP880212-0034#1
halt [7] :   AP880212-0047#1 AP880212-0052#1 AP880212-0039#1 AP880212-0091#1 AP880212-0081#1 AP880212-0095#2
margaret [3] :   AP880212-0075#1 AP880212-0093#1 AP880212-0071#1
foster [1] :   AP880212-0095#1
0 [1] :   AP880212-0067#1
proxmir [1] :   AP880212-0053#1
